agent_id,name,role,handle,current_voiceId_placeholder,elevenlabs_voice_id,notes
terry-locke,Terry Locke,Scrum master,terry-locke,terry,,"Host of ceremonies — measured, briefing voice"
iris-chase,Iris Chase,Team lead,iris-chase,iris,,"Coordinator — warm, orderly"
finn-reid,Finn Reid,Finance Strategist,finn-reid,finn,,"Precise, professional"
faith-hartley,Faith Hartley,Family scheduler,faith-hartley,faith,,"Warm, practical"
elle-rowan,Elle Rowan,EMBA planner,elle-rowan,elle,,"Coach-like, structured"
flex-grimes,Flex Grimes,Fitness coach,flex-grimes,flex,,"Energetic, terse"
ezra-miles,Ezra Miles,Errands,ezra-miles,ezra,,"Clipped, logistics-first"
sam-trent,Sam Trent,Startup planner,sam-trent,sam,,"Sharp, founder-mode"
cole-blake,Cole Blake,Career coach,cole-blake,cole,,"Measured, developmental"
charleston-lewis,Charleston Lewis,Personal chef,charleston-lewis,charleston,,"Warm, food-forward"
eli-vaughn,Eli Vaughn,Executive assistant,eli-vaughn,eli,,"Polished, discreet, formal"
liam-kingsley,Liam Kingsley,Life strategy,liam-kingsley,liam,,"Thoughtful, Socratic"
cam-post,Cam Post,Communications Agent,cam-post,cam,,"Clear, expressive, media-savvy"
troy-lennox,Troy Lennox,Travel,troy-lennox,troy,,"Direct, logistics-first"
tess-sutton,Tess Sutton,Product owner,tess-sutton,tess,,"Brisk, wry, product-first"
